,sentimen,tweet,clean_tweet
0,-1,lagu bosan apa yang aku save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu,lagu bosan save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
1,-1,kita lanjutkan saja diam ini hingga kau dan aku mengerti tidak semua kebersamaan harus melibatkan hati ,lanjut diam hingga erti sama libat hati
2,1,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p ,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya beri p
3,1,makasih loh ntar kita bagi hasil aku 99 9 sisanya buat kamu,loh ntar hasil sisa
4,-1,aku tak faham betul jenis orang malaysia yang tak reti nak sangkut balik hose tu aku geli bodoh nak pegang ,tak faham jenis orang malaysia tak ret nak sangkut hose tu geli bodoh nak pegang
5,0,barusan liat tulisan di belakang truk rela injek kopling demi kamu bisa shopping ,barusan liat tulis truk rela injek kopling shopping
6,-1,cerita dia macam ni mamat ni hari2 aku nampak keluar masuk cimb ceria ja tapi hari ni aku tengok muka dia masam aku p ,cerita ni mamat ni nampak masuk cimb ceria ja ni tengok muka masam p
7,1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya,nomor
8,-1,aku aja capek sama diriku sendiri apalagi kamu maaf ya ' ,capek diri maaf
9,-1,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan ,cuba nak amal sikap pergi mampus sayang gagal jenis mudah sian mudah maaf
10,0,her itu lho miss kevin sama keven rebutan gimbot ya wis aku beli 2 ae sambil nunjuk the twins yg asik main ipad masin ,her lho miss kevin keven rebut gimbot wis beli ae nunjuk the twins asik main ipad masin
11,0,iya rep gatau aku masih kelas 4 sd ehh di block ,rep gatau kelas sd ehh block
12,0,aku mohon tepatilah janjimu penantiancintaeps19,mohon tepat janji penantiancintaeps
13,0,bukan beria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser ,ria nk kahwin sbb gatal celah kangkang tp penat org anggap ni bujang takde kerja and ser
14,0,aku ingatkan habanero paling pedas rupanya ada 10 kali ganda yg lagi pedas gila ,ingat habanero pedas ganda pedas gila
15,0,aku tengok drama cinta bukan kristalatu conversation anak dengan bapak bapak iyeee sekarang semua perempuan n ,tengok drama cinta kristalatu conversation anak bapak bapak iyeee perempuan n
16,1,i dont know why but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insha alla ,i dont know why but these zikir bantu pon hasil orang retweetambil usaha doa insha alla
17,-1,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa ,commitmentetakat hulu hilir together tak put effort nak kahwin tinggal je bazir
18,1,aah kamu aja mas aku lebih suka diayomi ,aah suka ayom
19,0,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja ,butuh interaksi l l yuk line kuy mutualan ku follow auto followback ok rt
20,0,kau dah tak streak dengan aku pun ,dah tak streak
21,0,yg selama ini nunggun video dari aku nih retweet yg mau full ,nunggun video nih retweet full
22,1,mau bantu aku nabung ,bantu nabung
23,-1,kamu jahat dubu lt ,jahat dubu
24,0,tak kisah pun bf ade kawan perempuan sebab aku pun ade kawan laki tapi kalau over nak ngadu nak cite itu ini send ga ,tak kisah bf ade kawan perempuan ade kawan laki over nak ngadu nak cite send ga
25,0,high ,high
